neg_mape__average__q_0.05,neg_mape__1h__q_0.05,neg_mape__24h__q_0.05,neg_mape__average__q_0.5,neg_mape__1h__q_0.5,neg_mape__24h__q_0.5,neg_mape__average__q_0.95,neg_mape__1h__q_0.95,neg_mape__24h__q_0.95,split
-0.07997687470123357,-0.07289146530841985,-0.0870622840940473,-0.03141975625288598,-0.019531332718185513,-0.04330817978758645,-0.1654271362597543,-0.09584090920396576,-0.23501336331554284,0
-0.1109231737256422,-0.07932004904109198,-0.14252629841019243,-0.026988047991680347,-0.019147049688550584,-0.03482904629481011,-0.12011984787058402,-0.09154242112894832,-0.1486972746122197,1
-0.09052029581196705,-0.07016450793553401,-0.11087608368840009,-0.024047249443142925,-0.015774034393171987,-0.03232046449311386,-0.11608398866714874,-0.08304475811510362,-0.14912321921919386,2
-0.1033156032500698,-0.07304208325918599,-0.13358912324095362,-0.02621210578436444,-0.01823078080685264,-0.03419343076187624,-0.10079575637655236,-0.07962443677570404,-0.12196707597740067,3
-0.0978940787141636,-0.07199458973621414,-0.12379356769211305,-0.026288667854127534,-0.017872716248582842,-0.03470461945967222,-0.11836181289494901,-0.08854210969246216,-0.14818151609743588,4
